facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks
Nan,"Gregory, Chaney And Thomas",Community Health Centre,0.0,St.Peter,32/13/99,June 09 2025,12°58′34″N 59°9′51″W,Good
Hf-5106,"Parker,-Hoffman-And-Flowers Medical Center",Chc,0.0,St. John,2024-05-05,24/04/22,,Needs Upgrade
1A9D6B,Lawson Inc Polyclinic (St.George),Community Health Ctr.,0.0,St.George,16/04/21,2019-03-18,Point(-58.84363 13.10501),Reinspection Due
Nan,Foster-Plc (Christ),Polyclinic,0.0,Christ Church,25/07/17,2022-02-27,"12.96239, -59.08766",-
5109,Stein-Beasley,Polyclinic 🏥,0.0,Ycul .Ts,2019-08-06,20-03-24,"12.81970, -58.83413",Follow-Up 2023
#5110,Strong Group,Polyclinic 🏥,0.0,St. John Parish,12 Jun 2021,November 29 2022,12°56′7″N 58°55′31″W,Follow-Up 2023
Hf-5111,Henry-Jenkins Hosp. (Christ),Community Health Centre,0.0,Christ Church,October 25 2024,02/11/23,-59.20944;12.78729,-
5112,Burke-Mason Infirmary (St.),Community Health Ctr.,0.0,St. Andrew,15 Apr 2024,08/11/18,"-59.08688, 12.78820",Good
Hf-5113,Lambert-Brown Polyclinic,Health Ctr.,0.0,Christchurch,November 19 2020,20200715,Point(-58.79212 12.82827),-
Nan,Anderson Llc Clinic,Hosp.,0.0,St. George,02 Sep 2023,October 26 2021,Point(-58.86110 13.15359),Reinspection Due
7E1A43,Hughes Inc Infirmary (St),Unknown,0.0,St Joseph,01/08/16,03-06-23,"-58.96501, 13.09592",Reinspection Due
5116,Warren Ltd Clinic,Community Health Ctr.,6.0,St. Lucy,10 Mar 2016,20190605,-59.22342;12.70122,♥
Nan,"Huynh-Morris Health Centre
Newline",Community Health Centre,0.0,St. James,15 May 2019,2025-06-09,-59.16603;12.72496,-
0F7Bf6,White-Blevins Polyclinic,Clinic🌡️,0.0,St. Michael,October 05 2023,December 11 2021,Point(-59.17663 12.84040),♥
05119,Wright Ltd 🏥,Clinic🌡️,0.0,Hpesoj .Ts,21-03-16,24 Mar 2023,12°59′3″N 59°6′54″W,-
A348B0,Skinner Llc Infirmary,Community Health Ctr.,0.0,Christ Church,2020-07-21,2018-12-24,"13.12704, -59.09624",Nan
Nan,Watkins-Lopez💊,Community Health Centre,0.0,St. James,20240523,20240522,12°46′41″N 58°59′47″W,Nan
5122,Clayton And Sons,Polyclinic 🏥,0.0,St. Michael,04 Aug 2023,2020-10-29,"13.01322, -58.77025",Nan
#5123,Wilson Ltd (St),Unknown,0.0,St James,30 Jan 2021,30 Jul 2023,"12.82570, -59.21614",
#5124,Ryan-Sanchez Health Centre,Health Centre,444.0,St. John,20161001,July 16 2022,"-59.11728, 13.10623",Nan
76Dcb8,Gibbs-Lopez Hosp.,Hosp.,0.0,Christchurch,July 11 2024,07/04/18,Point(-59.22365 13.03337),Nan
F365F6,Murray-Liu Polyclinic (St.),Polyclinic,0.0,St. Joseph,01/01/19,2018-09-05,"-58.77756, 12.82278",-
5127,Johnson Group Hosp.,Community Health Ctr.,0.0,St. George,14-07-17,25 Oct 2019,12°54′39″N 59°5′25″W,Nan
Hf-5128,"Robbins, Smith And Shields",Unknown,0.0,St. James,20170207,20200209,"-58.73104, 13.29692",Follow-Up 2023
#5129,Miller-Walton Polyclinic (St.),Unknown,0.0,St. Michael,2020-01-19,20240427,,
#5130,Anderson Inc Hosp.,Polyclinic 🏥,0.0,Christchurch,19-05-20,20181203,-59.11393;13.23501,Good
Nan,"Grimes, Adams And Price Hospital (St.)",Polyclinic 🏥,0.0,St. James Parish,06-07-22,26/05/25,13°7′32″N 59°11′53″W,Nan
5132,Avila-Grant Hospital (St.),Polyclinic,0.0,St. Peter,20191216,July 11 2025,"12.85595, -59.25158",
05133,"Butler, Johnson And Rodriguez (St)",Health Centre,0.0,St James,2022-06-02,04-03-21,12°55′16″N 58°47′56″W,Reinspection Due
05134,Weber-Garcia Health Centre,Hosp.,0.0,St. John Parish,13/02/23,August 27 2022,,Reinspection Due
Hf-5135,Ruiz-Wright 🏥 (Christ),Unknown,0.0,Christ Church,20180507,23/01/22,Point(-58.74103 12.71672),Needs Upgrade
05136,"Gray, Costa And Coleman Medical Center",Clinic🌡️,0.0,Christ Church,11-03-18,04/12/18,-58.72959;13.06625,♥
Babe01,Williams-Bowers Polyclinic,Hosp.,0.0,St. Peter,14 Apr 2019,18-04-24,,Good
05138,Lewis-Branch Polyclinic (St.John),Community Health Centre,0.0,St.John,February 25 2019,20211105,"12.79609, -58.90112",Reinspection Due
Nan,Duncan-Thompson Clinic©,Health Centre,0.0,Christ Church,2023-04-25,26/02/22,"12.72187, -58.99765",Nan
Nan,"Barber,-Davis-And-Pham Medical Center (St.Peter)",Community Health Centre,0.0,St.Peter,04/02/20,April 04 2019,"13.00797, -58.99946",-
458894,"Garcia, Alvarez And Wright 🏥",Hospital,0.0,Hcruhc Tsirhc,11-02-18,December 09 2024,Point(-58.72997 13.15781),Follow-Up 2023
05142,Davis Plc Health Centre,Health Centre,0.0,Christchurch,17 Aug 2020,October 28 2023,-59.19640;13.13312,Nan
Nan,Dominguez-Llc Infirmary,Community Health Centre,0.0,Ycul .Ts,20181109,04 Sep 2020,"12.83831, -58.71468",Follow-Up 2023
Nan,Pope Group,Health Ctr.,0.0,St. John,20160613,2022-10-21,"13.22860, -58.88392",Needs Upgrade
Ad2F7F,Smith-Spears,Community Health Ctr.,0.0,Christ Church Parish,18/05/20,June 15 2019,,Follow-Up 2023
5146,Wilson-Group (St.Peter),Community Health Ctr.,0.0,St.Peter,2023-09-17,30/08/18,-58.96823;13.16579,-
Hf-5147,Madden-James Polyclinic,Chc,0.0,St. Lucy,20200329,20211007,"12.78180, -58.88210",-
#5148,Bailey Ltd Hosp.,Clinic🌡️,0.0,St. John,01/06/23,24 Mar 2019,,♥
Nan,Taylor-Romero©,Health Centre,0.0,St.George,2021-08-06,2025-12-28,"-59.21996, 13.27355",♥
05150,Stone-Frost 🏥 (St),Community Health Centre,0.0,St James,24-01-18,June 13 2024,-58.99449;13.02279,Nan
Nan,"Wright, Schmidt And Smith (St.)",Community Health Ctr.,0.0,St. George,05-02-22,April 01 2022,Point(-58.75626 13.06429),Needs Upgrade
Nan,Thompson Ltd Polyclinic (St.),Health Centre,0.0,St. George,08/09/25,10/03/18,12°48′17″N 59°10′35″W,-
#5153,Wilkinson Inc,Health Centre,0.0,St. Joseph Parish,2025-04-13,27 Jan 2021,Point(-59.18793 13.09455),Good
#5154,Hensley-Mann Hospital,Chc,0.0,St. John,08/07/16,20211202,"13.26339, -59.04460",Needs Upgrade
414F28,"Garcia, Macdonald And Smith",Community Health Ctr.,99.0,St. Lucy,07/06/17,32/13/99,Point(-59.02719 13.15755),
A59F92,"Hall, Carpenter And Reese Medical Center (Ycul)",Hosp.,0.0,Ycul .Ts,14/08/21,March 23 2018,"-58.78583, 12.98589",-
8D63C7,Johnston-Scott Hospital,Health Ctr.,0.0,Semaj .Ts,26 Jan 2018,21/10/18,"-58.76134, 13.20163",Nan
#5158,Dickerson-Cobb Clinic (Retep),Hosp.,0.0,Retep .Ts,18 Jan 2024,20201219,,Nan
Hf-5159,Strong-Valenzuela,Polyclinic 🏥,0.0,St. Andrew,2024-08-17,18-01-23,"-59.08114, 12.84263",Nan
Nan,"Martinez-Llc Health Centre
Newline",Clinic,0.0,Werdna .Ts,06 Nov 2017,26-09-20,,♥
05161,Adkins-David 🏥©,Health Centre,0.0,St. Joseph,20201016,12-10-20,,Nan
05162,Foster-Rosales (St.),Community Health Centre,0.0,St. Lucy Parish,13/12/20,20-12-18,"-59.07501, 12.77655",Needs Upgrade
Be3C84,Cruz Inc Hospital,Health Centre,0.0,St. Lucy,2020-10-19,17/09/19,13°7′59″N 58°47′3″W,-
05164,"Landry,-Allen-And-Mitchell Clinic (St.)",Unknown,0.0,St. Peter,19 Feb 2017,August 15 2019,,♥
Nan,"Jackson, Ortiz And Mcfarland Clinic",Community Health Ctr.,0.0,St. Joseph,2022-08-17,12/03/22,,Follow-Up 2023
#5166,Crane Plc Medical Center (St.George),Chc,0.0,St.George,21 Jun 2016,12 Sep 2024,"13.28715, -59.14471",Reinspection Due
05167,Morris-Shields (St.Lucy),Clinic,0.0,St.Lucy,27/08/18,February 01 2022,,Nan
05168,Bradley-Garcia Infirmary (St.),Community Health Ctr.,0.0,St. Peter,January 07 2025,11 Mar 2019,,-
Nan,Santos-Stanton Infirmary,Community Health Centre,0.0,St.Peter,19/07/16,08/02/18,"-58.89402, 13.07969",Follow-Up 2023
5170,"Dennis, Thompson And Lloyd Infirmary (Leahcim)",Unknown,299.0,Leahcim .Ts,24-12-17,2022-01-09,"-58.95184, 13.15457",Reinspection Due
Hf-5171,Moore Plc Polyclinic,Chc,0.0,Leahcim .Ts,24/07/19,19/06/24,13°7′17″N 59°3′9″W,Nan
5172,"Wade-Estes Medical Center (St.)
Newline",Community Health Ctr.,0.0,St. Joseph,November 12 2023,20180825,"-58.82197, 13.18482",Follow-Up 2023
Hf-5173,Martinez Llc,Clinic,127.0,St.John,June 30 2017,22 Oct 2025,"-59.22674, 12.82354",Needs Upgrade
Nan,"White,-Hurley-And-Lin Infirmary (St.)",Chc,0.0,St. George,2016-12-06,28 Jun 2022,,Good
Nan,Li And Sons 🏥 (Christchurch),Hospital,0.0,Christchurch,24 May 2016,24 Dec 2022,Point(-58.71921 12.84103),Nan
Nan,Lindsey-Cole Health Centre,Unknown,0.0,St. Lucy,December 20 2025,2024-05-24,Point(-59.21704 12.73762),Nan
Hf-5177,Vincent-Williams Hosp.💊,Clinic,0.0,St. Joseph,September 21 2025,13 Jun 2023,12°43′45″N 58°51′33″W,
D58Bab,Watts-Blevins Hosp. (St.),Hosp.,0.0,St. Joseph,09 Oct 2023,20200330,-59.29095;13.01493,Follow-Up 2023
Hf-5179,Palmer-Guerra 🏥,Polyclinic,0.0,Hpesoj .Ts,31-07-18,08/02/21,Point(-59.28906 12.75728),
#5180,Payne-Williams (St.),Chc,233.0,St. James,14 Sep 2023,2018-09-17,12°56′26″N 58°46′8″W,-
#5181,"Gregory, Smith And Jones (St.)",Chc,0.0,St. Peter,September 12 2022,25-01-21,"-59.24415, 13.13301",
#5182,"Lopez, Singleton And Roberson",Polyclinic 🏥,0.0,Christ Church,November 27 2018,08-07-19,13°5′4″N 58°45′31″W,♥
B88080,Matthews-And-Sons Hosp.,Hospital,0.0,St. Lucy,31 May 2018,20230510,,Reinspection Due
05184,"Martinez, Hahn And Moore Health Centre (Christ)",Clinic🌡️,0.0,Christ Church,2019-06-15,18/09/25,-58.77755;12.99251,Follow-Up 2023
5185,"Smith, Hill And Berry (Retep)",Clinic,0.0,Retep .Ts,29-07-25,June 15 2022,"-59.06928, 13.07485",Reinspection Due
Nan,"Ritter,-Mccoy-And-Miller",Polyclinic,0.0,St. Lucy,24 Mar 2025,2019-04-24,Point(-59.21930 13.09231),Needs Upgrade
5187,"Ryan, Bishop And Cruz Infirmary (St.Joseph)",Polyclinic 🏥,0.0,St.Joseph,26/02/16,2020-03-18,Point(-59.16938 13.11182),Nan
05188,"Kelly, Johnson And Sheppard Polyclinic",Polyclinic 🏥,0.0,St.George,20171212,17/07/19,Point(-59.03582 13.25985),Reinspection Due
05189,"Smith, Montgomery And Smith Health Centre (St.)",Unknown,0.0,St. Peter,10/09/25,20/09/18,"-58.89144, 13.18558",Nan
Hf-5190,"Stanley, Wilson And Reed",Health Centre,0.0,St. George,20230818,05-11-24,12°55′56″N 58°57′53″W,Nan
Nan,Dawson-Skinner 🏥,Health Ctr.,0.0,St Michael,05-05-23,25/04/21,Point(-59.21442 12.92815),Follow-Up 2023
#5192,Smith Inc Hosp.,Community Health Ctr.,0.0,St. John,26 May 2023,07 Oct 2023,13°3′22″N 58°45′8″W,Reinspection Due
05193,Washington-Castillo Medical Center,Community Health Ctr.,0.0,Ycul .Ts,07-09-18,October 14 2019,-59.09122;13.01545,♥
38E22C,Parker Plc Health Centre,Community Health Centre,0.0,Werdna .Ts,11-10-17,20 Dec 2024,"-59.02073, 12.90825",Reinspection Due
Hf-5195,"Walsh, Velasquez And Lopez (St.)",Polyclinic 🏥,0.0,St. Joseph,07-03-16,32/13/99,,
5196,Williams Inc Hosp.,Polyclinic 🏥,0.0,St. James,03 Jun 2022,20200627,Point(-58.76051 13.20295),
Nan,Wright-Welch Clinic,Polyclinic,0.0,Christ Church,20/02/21,May 20 2023,,Reinspection Due
Hf-5198,Cummings-Martinez Hospital (St.),Health Ctr.,0.0,St. Peter,2021-03-01,16/07/23,,♥
Hf-5199,Wong And Sons (St.Joseph),Community Health Ctr.,0.0,St.Joseph,March 28 2024,04-09-20,"12.98239, -59.22495",Reinspection Due
#5200,Harper-And-Sons Polyclinic (St.Andrew),Health Centre,0.0,St.Andrew,20210401,23 Sep 2019,,Nan
02D013,"Fisher Plc Clinic (Hcruhc)
Newline",Polyclinic 🏥,0.0,Hcruhc Tsirhc,12/06/18,20/07/19,"-59.07806, 13.09965",♥
Hf-5202,"Hernandez, Fuller And Anderson Hospital (St.George)",Health Centre,0.0,St.George,07 Jul 2023,28-08-22,-59.10535;12.92029,-
#5203,"Turner, Williams And Turner💊",Polyclinic,0.0,Hcruhc Tsirhc,20160206,13-07-24,13°4′11″N 58°55′2″W,♥
5204,"Duke, Bailey And Simpson Infirmary (St.)
Newline",Hospital,0.0,St. Michael,25-01-20,29/07/24,,
Nan,Hays-Santiago Medical Center (St.),Unknown,0.0,St. James,July 10 2022,2020-04-13,"-59.06119, 12.97668",Nan
5206,Nguyen Inc Polyclinic (St.),Hosp.,0.0,St. George,19/12/18,16/11/22,"12.76445, -58.70528",Follow-Up 2023
05207,Perez-Owens Health Centre,Community Health Centre,0.0,St. George,2020-03-08,20191008,-59.14521;13.08602,Nan
#5208,Wilson-Banks Hosp.,Clinic🌡️,0.0,St. James,20200422,2021-11-26,13°10′7″N 58°49′56″W,-
#5209,"Olson Ltd Health Centre (Nhoj)
Newline",Unknown,0.0,Nhoj .Ts,May 11 2016,18/08/21,Point(-59.20392 13.26875),♥
Nan,"Ortega,-Robinson-And-King Infirmary",Clinic,0.0,St. John Parish,20240607,07 Dec 2025,,Follow-Up 2023
Nan,Foster Inc Infirmary,Clinic,0.0,St. Lucy,21 Jul 2022,May 13 2023,13°6′53″N 59°7′32″W,-
Nan,"Oconnor, Ford And Kline",Hospital,0.0,St. Joseph,February 17 2024,20231118,13°2′10″N 58°42′16″W,Nan
Nan,Perez-West Health Centre💊,Clinic,0.0,St. Joseph,22 Feb 2019,16 Mar 2019,"13.03382, -58.97281",Follow-Up 2023
5214,Russell Group Polyclinic (St.Andrew),Unknown,0.0,St.Andrew,15-06-17,28 Jul 2020,"12.78220, -59.16056",-
Nan,"Chang,-Avila-And-Barrera Health Centre (St.)",Unknown,0.0,St. Lucy,06 May 2018,July 17 2019,"13.09480, -59.12707",Follow-Up 2023
5216,Moore Group,Polyclinic 🏥,187.0,St. Michael,2023-05-21,February 17 2019,-59.17142;12.79473,-
5217,"Kim, Gonzalez And Wright Polyclinic (St.)",Unknown,0.0,St. Lucy,December 08 2024,11/07/24,Point(-58.85362 12.72809),Nan
9D3Bd8,Burton-Inc,Community Health Ctr.,0.0,St. Peter Parish,October 16 2023,09-02-21,Point(-59.26718 12.89185),Needs Upgrade
Nan,"Baldwin,-Flowers-And-Miller Polyclinic",Health Centre,0.0,St. Andrew,02 Apr 2024,16/04/20,"-59.03554, 13.20764",Nan
B03778,Short-Collins Infirmary (St.Peter),Community Health Ctr.,0.0,St.Peter,18-10-17,12-06-24,-59.29272;12.92206,Nan
5221,Olson Plc,Unknown,0.0,St. Joseph,01-03-16,20221214,"12.94564, -59.12509",Reinspection Due
Hf-5222,Douglas Ltd,Health Ctr.,0.0,Christ Church,09/11/22,19/07/21,Point(-59.11449 12.84311),Good
05223,"Holt, Franklin And Jackson Medical Center (Hpesoj)",Health Centre,0.0,Hpesoj .Ts,16/02/24,20241001,Point(-59.14083 13.00579),Nan
B4843D,Leon-Nelson,Polyclinic 🏥,0.0,Retep .Ts,January 31 2025,28/11/19,-58.82818;12.83998,Reinspection Due
Nan,Thomas Llc (St.),Community Health Centre,0.0,St. James,07-01-16,2020-06-11,13°12′16″N 59°17′38″W,Reinspection Due
#5226,Edwards Llc,Unknown,0.0,Semaj .Ts,2017-09-14,23 Mar 2021,12°47′48″N 58°55′14″W,-
05227,Mccoy-Meyers Hosp. (St.Michael),Health Centre,169.0,St.Michael,26-11-19,2020-07-29,13°7′13″N 58°50′2″W,Nan
5228,Brown-Ford Medical Center,Chc,0.0,St John,October 16 2016,20200224,"13.15141, -59.08459",Nan
Hf-5229,Hall-Diaz Medical Center,Polyclinic,0.0,St. John,May 17 2022,February 21 2023,,Follow-Up 2023
5230,"Marshall, Nunez And Parker (St.)",Chc,0.0,St. Lucy,June 12 2017,20220613,Point(-59.14236 13.10902),Nan
Bfe2Eb,Washington-Gardner (Christ),Polyclinic 🏥,0.0,Christ Church,July 16 2022,16-07-25,13°15′55″N 58°51′47″W,
05232,"Reyes, Mcconnell And Watkins (St.)",Chc,0.0,St. Joseph Parish,2019-07-16,June 30 2024,"13.23266, -58.90445",Needs Upgrade
Hf-5233,Schneider Plc,Chc,0.0,St.Lucy,06 Jan 2021,October 05 2021,,Needs Upgrade
05234,Sullivan Plc Infirmary,Clinic🌡️,262.0,St. George,13-07-22,04 Jul 2019,-59.29732;12.87762,Good
5235,"Mosley, Phillips And Hudson",Polyclinic,0.0,St. John Parish,May 04 2022,23 Mar 2018,,Nan
Hf-5236,Lopez-Daniel 🏥,Community Health Ctr.,0.0,St. Lucy,20241117,30/10/25,-59.00681;13.28470,Reinspection Due
Hf-5237,Chandler-Sullivan Medical Center,Polyclinic,0.0,St Andrew,17 Nov 2019,2019-11-20,"12.90584, -59.14281",Nan
Hf-5238,Dalton-Young Clinic,Health Centre,0.0,St Andrew,20201225,30/11/25,Point(-59.26604 12.80422),Reinspection Due
Nan,Jones-West,Hosp.,0.0,St. James,20211227,20210216,Point(-58.92157 12.90628),Good
Nan,Bailey Ltd (St.),Health Ctr.,0.0,St. James,23 Jan 2016,25-01-21,Point(-58.75691 13.03978),-
Hf-5241,"Ramirez, Ashley And Lee Medical Center (St.George)",Polyclinic,0.0,St.George,December 21 2019,12 Jan 2025,-59.02002;12.94786,Needs Upgrade
Hf-5242,Melendez-Henry💊,Health Centre,0.0,St. James,November 30 2019,August 31 2024,,
05243,"Perkins, Stanley And Daniel Clinic (St.Joseph)
Newline",Health Ctr.,0.0,St.Joseph,2020-01-08,18/01/23,Point(-59.29771 13.26398),Needs Upgrade
Nan,Murray Inc (St.),Hospital,0.0,St. George,18/07/16,20230912,13°16′41″N 58°50′44″W,♥
46E02C,Smith Ltd Polyclinic (St.),Community Health Ctr.,0.0,St. John,2018-12-21,10-07-22,"-59.10302, 13.06861",Nan
#5246,"Miller, Farmer And Floyd Health Centre (St.)",Health Ctr.,0.0,St. George,20251213,26/01/21,"-59.03979, 12.79072",Nan
05247,"Scott, Johnson And Fleming Hosp.",Clinic,0.0,St. Joseph,23-07-23,01 Oct 2021,Point(-58.89877 12.78294),Nan
Hf-5248,Vaughn Group Medical Center (St.),Chc,0.0,St. Andrew,17/09/24,August 14 2025,-59.07162;12.80924,
Nan,"Mcdonald, Cherry And Perez Hosp.",Clinic🌡️,0.0,St George,May 13 2018,01 Jan 2022,,Nan
Nan,Patterson Group 🏥,Unknown,0.0,Christ Church,2023-06-28,2022-05-29,,Nan
#5251,"Anderson, Contreras And Giles Infirmary",Unknown,0.0,Nhoj .Ts,October 05 2016,24/06/18,"-58.73433, 12.82897",Needs Upgrade
8Cd019,Leon-Taylor Hosp.,Polyclinic,0.0,St Michael,April 14 2022,28 Jan 2020,"12.76754, -59.07379",Nan
Hf-5253,Martin-Marshall 🏥 (Egroeg),Chc,0.0,Egroeg .Ts,20210603,26-08-24,-58.85912;12.75530,Nan
05254,"Russo,-Pena-And-Barrett",Community Health Ctr.,0.0,Christ Church,20170424,20230120,"12.91534, -58.95236",
5255,Perez-Graves,Health Ctr.,0.0,St. Joseph,2023-10-18,19 Jan 2021,,Reinspection Due
Hf-5256,Luna-Cantu Polyclinic,Health Centre,0.0,St. James,27-12-24,2025-02-09,,Reinspection Due
Nan,Anderson Ltd Medical Center,Hospital,0.0,Christchurch,20250819,09/02/19,13°14′21″N 59°0′50″W,Nan
Nan,Wilson-Garrison Hospital (Christ),Community Health Centre,0.0,Christ Church,November 24 2016,03/03/21,"13.04314, -58.98886",Reinspection Due
Faa189,"Wilson, Wagner And Ruiz (St.)",Community Health Centre,0.0,St. James,2017-11-06,November 23 2022,-58.95021;12.78213,Nan
Hf-5260,Potter Inc Medical Center (St.),Community Health Centre,0.0,St. Andrew Parish,19 Dec 2020,2024-05-01,,Nan
5261,Smith Group 🏥,Polyclinic,0.0,St.James,25 May 2025,19 Oct 2020,"-59.26085, 13.17295",
05262,"Oliver, Schultz And Moore",Community Health Ctr.,0.0,St.Michael,October 21 2017,09/10/21,,Reinspection Due
Nan,Garcia-English Health Centre (St),Chc,144.0,St John,02-04-22,March 26 2024,"-58.85904, 12.84982",Good
3375Fc,Smith-Fitzgerald Polyclinic,Community Health Ctr.,0.0,St.Joseph,2016-07-02,July 30 2021,,Follow-Up 2023
Nan,Blake-Cummings Hospital (St.James),Polyclinic 🏥,0.0,St.James,2019-04-15,22 Aug 2024,-59.23841;13.01775,-
Hf-5266,"Hernandez, Myers And Smith Medical Center (St.George)",Chc,0.0,St.George,June 26 2019,January 24 2025,-59.08932;12.91303,Nan
Nan,Rollins-Terry Infirmary,Chc,0.0,St.Lucy,26/02/21,20220213,13°2′15″N 59°15′41″W,Follow-Up 2023
Hf-5268,Martinez-Smith Clinic,Health Ctr.,0.0,St. Lucy,20230304,June 22 2018,13°16′29″N 58°48′33″W,-
Hf-5268,Martinez-Smith Clin.,Health Ctr.,0.0,St. Lucy,20230304,June 22 2018,13°16′29″N 58°48′33″W,-
5269,Williams-Taylor Medical Center,Hospital,0.0,St. Michael,22-07-22,January 13 2021,,
Nan,"Rodriguez, Lane And Gamble",Health Centre,0.0,St.Joseph,20210124,24/04/25,,Reinspection Due
05271,Wilkinson-Spencer (St.),Clinic🌡️,0.0,St. Joseph Parish,2018-02-25,28/11/18,"13.10963, -58.89229",Reinspection Due
5272,Guzman-Cherry Hospital (St.),Hospital,66.0,St. Joseph,23/04/21,May 05 2024,"-58.78382, 13.20409",Good
05273,Cline And Sons,Chc,0.0,St. Michael,14 Jul 2017,30 May 2022,Point(-59.00210 12.94978),
A2443F,Mills Plc Health Centre,Hospital,0.0,St. James,October 14 2018,February 12 2020,,Nan
C94Ff6,Collins-Norris,Hosp.,0.0,St. Joseph,November 27 2021,02 Feb 2024,12°51′12″N 58°47′25″W,Follow-Up 2023
422762,"White, Clark And Travis 🏥",Polyclinic 🏥,0.0,St. Lucy,19-05-25,September 25 2020,"12.86332, -58.84869",Follow-Up 2023
A9Cbbc,Carson-Martin Polyclinic,Polyclinic 🏥,0.0,St. Peter,24 Mar 2022,29/05/23,12°52′56″N 59°5′54″W,
Nan,Hatfield Llc Clinic,Community Health Centre,0.0,St. Lucy,18-02-20,22/04/25,,-
Nan,Hatfield Llc Clin.,Community Health Centre,0.0,St. Lucy,18-02-20,22/04/25,,-
05279,Thomas-Smith Medical Center (Leahcim),Polyclinic 🏥,0.0,Leahcim .Ts,28/05/16,August 13 2022,Point(-59.21932 13.14097),♥
5280,Smith-Bautista (St.),Health Ctr.,0.0,St. George Parish,30/04/23,19 Jun 2019,,♥
Hf-5281,"Barnes,-Walsh-And-Ross Hosp.",Unknown,0.0,St.George,03 May 2018,22/08/25,"-59.18724, 12.97183",Good
9Db695,"Robertson, Stewart And Thompson 🏥 (Semaj)",Unknown,0.0,Semaj .Ts,20-07-25,20221110,"12.93092, -58.87120",Follow-Up 2023
623656,Nixon-Briggs Hosp.,Community Health Ctr.,0.0,Christ Church,24-01-24,20190310,,-
Nan,Savage Plc,Hosp.,0.0,Christ Church,December 27 2016,June 10 2021,Point(-58.88917 12.89320),Reinspection Due
#5285,Schaefer-Roberts Clinic,Unknown,0.0,St. Joseph,32/13/99,20220707,,♥
5285,Schaefer-Roberts Clin.,Unknown,0.0,St. Joseph,32/13/99,20220707,,♥
5286,"Wright, Huffman And Moran 🏥",Health Ctr.,0.0,St. Lucy,15 Oct 2019,04/06/24,13°8′57″N 58°59′36″W,-
#5287,"Vargas, Ballard And Jones Infirmary (St.)",Clinic,0.0,St. George,20220227,18/02/25,"13.28140, -59.16797",♥
Nan,Ward-Llc Clinic (St.),Unknown,0.0,St. George,2019-02-20,25-07-25,,
Nan,"Klein, Bernard And Figueroa Polyclinic (St.)",Health Ctr.,0.0,St. Lucy,12-11-19,December 05 2023,"-58.95542, 13.12630",Nan
05290,"Gordon, Payne And Pearson 🏥",Unknown,0.0,St. Joseph,March 04 2016,March 23 2020,Point(-59.10264 13.01974),-
179Ced,"Banks,-Hill-And-Jimenez 🏥
Newline",Hospital,0.0,St. John,14 Aug 2023,March 07 2023,,Reinspection Due
05292,"Adams, Gilbert And Harmon Infirmary",Community Health Centre,0.0,St. George Parish,26/03/20,2024-03-01,12°50′19″N 59°14′16″W,Follow-Up 2023
6C8399,Jefferson Llc (St.),Unknown,345.0,St. John,20240906,20180722,13°17′9″N 59°2′3″W,Reinspection Due
#5294,Wright Inc Polyclinic (St.),Community Health Ctr.,245.0,St. John,April 29 2022,20221010,"-59.10606, 13.09984",Reinspection Due
A5B485,Kim Group Clinic (St.John),Polyclinic 🏥,82.0,St.John,20160218,February 24 2020,Point(-59.18153 12.80112),Nan
5296,"Stevenson,-Perry-And-Hayes Infirmary",Unknown,0.0,St. Michael,April 29 2019,20180113,"12.88085, -58.84199",Nan
Hf-5297,Taylor-Boyd Health Centre (St.),Health Ctr.,0.0,St. Andrew,13 Apr 2025,01 Jan 2018,,Follow-Up 2023
5298,Hall Ltd,Chc,0.0,St. Andrew Parish,20240302,18 Oct 2019,,Good
Nan,"Johnson-Peters Polyclinic
Newline",Polyclinic 🏥,0.0,St. George,18-03-17,15/05/25,,Reinspection Due
Nan,Ewing Llc Clinic,Clinic🌡️,0.0,St.George,2019-06-30,20221114,,Reinspection Due
Nan,Grant Ltd (St.),Community Health Centre,0.0,St. James,July 24 2018,20250102,Point(-58.93463 13.02598),
5302,"Holmes, Woodward And Harmon (St)",Clinic🌡️,0.0,St John,01 Sep 2016,October 14 2024,"-58.93524, 13.03916",Reinspection Due
#5303,Mitchell-Dennis Medical Center (St.),Unknown,0.0,St. Michael Parish,2021-04-05,July 12 2018,13°2′55″N 58°43′10″W,Reinspection Due
Nan,Davidson-Ltd Medical Center (St.Lucy)💊,Hospital,44.0,St.Lucy,05/12/23,24 Jul 2022,12°49′7″N 59°4′17″W,Needs Upgrade
05305,"West, Price And Chambers 🏥",Polyclinic 🏥,0.0,St.John,June 10 2017,January 06 2025,Point(-59.02175 13.01244),Good
#5306,Scott Llc (St.),Unknown,0.0,St. Michael,07-12-22,11-10-23,Point(-58.82313 13.20366),-
Nan,"Wood, Johnson And Rhodes Hosp.",Hospital,0.0,St. Lucy,20170922,14-09-23,-59.06682;13.25908,Nan
5308,Bautista-Ltd 🏥 (St),Unknown,0.0,St Andrew,18 Jun 2024,20220127,Point(-58.77807 13.08841),Needs Upgrade
5E56E8,"Morales, Griffin And Green Hospital",Polyclinic,59.0,St. George,10-06-22,2018-03-11,-59.15250;13.29016,Good
5E56E8,"Morales, Griffin And Green Hosp.",Polyclinic,59.0,St. George,10-06-22,2018-03-11,-59.15250;13.29016,Good
